Category,Sample,method,R1_R2_reads_combined,sample_proportion,R1_R2_read_proportion
0363237610_S101_L001_R1_001.fastp.fastq.gz,363237610_R1,Fluorescent Quantification,11116,0.242436614,0.242436614
0363237548_S105_L001_R1_001.fastp.fastq.gz,363237548_R1,Fluorescent Quantification,11108,0.242262136,0.242262136
0363148454_S271_L001_R1_001.fastp.fastq.gz,363148454_R1,Fluorescent Quantification,10994,0.239775832,0.239775832
0363237571_S160_L001_R1_001.fastp.fastq.gz,363237571_R1,Fluorescent Quantification,10928,0.238336392,0.238336392
0363236799_S230_L001_R1_001.fastp.fastq.gz,363236799_R1,Fluorescent Quantification,10890,0.237507622,0.237507622
0363148393_S193_L001_R1_001.fastp.fastq.gz,363148393_R1,Fluorescent Quantification,10882,0.237333144,0.237333144
0363146973_S64_L001_R1_001.fastp.fastq.gz,363146973_R1,Fluorescent Quantification,10826,0.236111802,0.236111802
0363147012_S329_L001_R1_001.fastp.fastq.gz,363147012_R1,Fluorescent Quantification,10812,0.235806466,0.235806466
0363192131_S59_L001_R1_001.fastp.fastq.gz,363192131_R1,Fluorescent Quantification,10802,0.235588368,0.235588368
0363237572_S176_L001_R1_001.fastp.fastq.gz,363237572_R1,Fluorescent Quantification,10770,0.234890458,0.234890458
0363236772_S198_L001_R1_001.fastp.fastq.gz,363236772_R1,Fluorescent Quantification,10520,0.229438034,0.229438034
0363237619_S166_L001_R1_001.fastp.fastq.gz,363237619_R1,Fluorescent Quantification,10436,0.22760602,0.22760602
0363237614_S108_L001_R1_001.fastp.fastq.gz,363237614_R1,Fluorescent Quantification,10396,0.226733632,0.226733632
0363148452_S238_L001_R1_001.fastp.fastq.gz,363148452_R1,Fluorescent Quantification,10382,0.226428296,0.226428296
0363146946_S91_L001_R1_001.fastp.fastq.gz,363146946_R1,Fluorescent Quantification,10372,0.226210198,0.226210198
0363148412_S197_L001_R1_001.fastp.fastq.gz,363148412_R1,Fluorescent Quantification,10338,0.225468668,0.225468668
0363148427_S254_L001_R1_001.fastp.fastq.gz,363148427_R1,Fluorescent Quantification,10292,0.224465422,0.224465422
0363148363_S196_L001_R1_001.fastp.fastq.gz,363148363_R1,Fluorescent Quantification,10246,0.223462176,0.223462176
0363237248_S309_L001_R1_001.fastp.fastq.gz,363237248_R1,Fluorescent Quantification,10210,0.222677028,0.222677028
0363148446_S344_L001_R1_001.fastp.fastq.gz,363148446_R1,Fluorescent Quantification,10162,0.221630162,0.221630162
0363237589_S167_L001_R1_001.fastp.fastq.gz,363237589_R1,Fluorescent Quantification,10054,0.219274714,0.219274714
0363237876_S136_L001_R1_001.fastp.fastq.gz,363237876_R1,Fluorescent Quantification,9986,0.217791654,0.217791654
0363148382_S280_L001_R1_001.fastp.fastq.gz,363148382_R1,Fluorescent Quantification,9904,0.21600326,0.21600326
0363147004_S57_L001_R1_001.fastp.fastq.gz,363147004_R1,Fluorescent Quantification,9810,0.213953148,0.213953148
0363148444_S218_L001_R1_001.fastp.fastq.gz,363148444_R1,Fluorescent Quantification,9798,0.213691432,0.213691432
0363236797_S256_L001_R1_001.fastp.fastq.gz,363236797_R1,Fluorescent Quantification,9772,0.213124378,0.213124378
0363237545_S189_L001_R1_001.fastp.fastq.gz,363237545_R1,Fluorescent Quantification,9746,0.212557326,0.212557326
0363236815_S179_L001_R1_001.fastp.fastq.gz,363236815_R1,Fluorescent Quantification,9696,0.211466842,0.211466842
0363148395_S229_L001_R1_001.fastp.fastq.gz,363148395_R1,Fluorescent Quantification,9678,0.211074268,0.211074268
0363148402_S236_L001_R1_001.fastp.fastq.gz,363148402_R1,Fluorescent Quantification,9672,0.21094341,0.21094341
0363238248_S10_L001_R1_001.fastp.fastq.gz,363238248_R1,Fluorescent Quantification,9646,0.210376356,0.210376356
0363146962_S331_L001_R1_001.fastp.fastq.gz,363146962_R1,Fluorescent Quantification,9596,0.209285872,0.209285872
0363146986_S86_L001_R1_001.fastp.fastq.gz,363146986_R1,Fluorescent Quantification,9572,0.20876244,0.20876244
0363236856_S368_L001_R1_001.fastp.fastq.gz,363236856_R1,Fluorescent Quantification,9532,0.207890052,0.207890052
0363236790_S285_L001_R1_001.fastp.fastq.gz,363236790_R1,Fluorescent Quantification,9440,0.205883558,0.205883558
0363238262_S21_L001_R1_001.fastp.fastq.gz,363238262_R1,Fluorescent Quantification,9426,0.205578224,0.205578224
0363148387_S234_L001_R1_001.fastp.fastq.gz,363148387_R1,Fluorescent Quantification,9394,0.204880312,0.204880312
0363237603_S100_L001_R1_001.fastp.fastq.gz,363237603_R1,Fluorescent Quantification,9372,0.2044005,0.2044005
0363236807_S342_L001_R1_001.fastp.fastq.gz,363236807_R1,Fluorescent Quantification,9360,0.204138782,0.204138782
0363237605_S188_L001_R1_001.fastp.fastq.gz,363237605_R1,Fluorescent Quantification,9332,0.203528112,0.203528112
0363146943_S338_L001_R1_001.fastp.fastq.gz,363146943_R1,Fluorescent Quantification,9326,0.203397254,0.203397254
0363148385_S278_L001_R1_001.fastp.fastq.gz,363148385_R1,Fluorescent Quantification,9314,0.203135536,0.203135536
0363146987_S17_L001_R1_001.fastp.fastq.gz,363146987_R1,Fluorescent Quantification,9180,0.200213038,0.200213038
0363147011_S295_L001_R1_001.fastp.fastq.gz,363147011_R1,Fluorescent Quantification,9180,0.200213038,0.200213038
0363148400_S239_L001_R1_001.fastp.fastq.gz,363148400_R1,Fluorescent Quantification,9176,0.200125798,0.200125798
0363146290_S22_L001_R1_001.fastp.fastq.gz,363146290_R1,Fluorescent Quantification,9144,0.199427888,0.199427888
0363238276_S55_L001_R1_001.fastp.fastq.gz,363238276_R1,Fluorescent Quantification,9122,0.198948074,0.198948074
0363146935_S321_L001_R1_001.fastp.fastq.gz,363146935_R1,Fluorescent Quantification,9076,0.197944828,0.197944828
0363148369_S217_L001_R1_001.fastp.fastq.gz,363148369_R1,Fluorescent Quantification,9070,0.19781397,0.19781397
0363237921_S98_L001_R1_001.fastp.fastq.gz,363237921_R1,Fluorescent Quantification,9036,0.19707244,0.19707244
0363192133_S71_L001_R1_001.fastp.fastq.gz,363192133_R1,Fluorescent Quantification,8952,0.195240426,0.195240426
0363236791_S168_L001_R1_001.fastp.fastq.gz,363236791_R1,Fluorescent Quantification,8906,0.19423718,0.19423718
0363146814_S56_L001_R1_001.fastp.fastq.gz,363146814_R1,Fluorescent Quantification,8852,0.193059456,0.193059456
0363237613_S182_L001_R1_001.fastp.fastq.gz,363237613_R1,Fluorescent Quantification,8852,0.193059456,0.193059456
0363236850_S282_L001_R1_001.fastp.fastq.gz,363236850_R1,Fluorescent Quantification,8816,0.192274306,0.192274306
0363239066_S302_L001_R1_001.fastp.fastq.gz,363239066_R1,Fluorescent Quantification,8752,0.190878486,0.190878486
0363146953_S9_L001_R1_001.fastp.fastq.gz,363146953_R1,Fluorescent Quantification,8732,0.190442292,0.190442292
0363148440_S195_L001_R1_001.fastp.fastq.gz,363148440_R1,Fluorescent Quantification,8682,0.189351808,0.189351808
