Category,Sample,method,total_reads,proportion
0363148394_S259_L001_R1_001.fastp.fastq.gz,363148394_R1,Fluorescent Quantification,11301,0.246471409
0363148394_S259_L001_R2_001.fastp.fastq.gz,363148394_R1,Fluorescent Quantification,11301,0.246471409
0363148395_S229_L001_R1_001.fastp.fastq.gz,363148395_R1,Fluorescent Quantification,4839,0.105537134
0363148395_S229_L001_R2_001.fastp.fastq.gz,363148395_R1,Fluorescent Quantification,4839,0.105537134
0363148396_S270_L001_R1_001.fastp.fastq.gz,363148396_R1,Fluorescent Quantification,2485,0.054197102
0363148396_S270_L001_R2_001.fastp.fastq.gz,363148396_R1,Fluorescent Quantification,2485,0.054197102
0363148397_S175_L001_R1_001.fastp.fastq.gz,363148397_R1,Fluorescent Quantification,334,0.007284439
0363148397_S175_L001_R2_001.fastp.fastq.gz,363148397_R1,Fluorescent Quantification,334,0.007284439
0363148399_S364_L001_R1_001.fastp.fastq.gz,363148399_R1,Fluorescent Quantification,18325,0.399662735
0363148399_S364_L001_R2_001.fastp.fastq.gz,363148399_R1,Fluorescent Quantification,18325,0.399662735
0363148400_S239_L001_R1_001.fastp.fastq.gz,363148400_R1,Fluorescent Quantification,4588,0.100062899
0363148400_S239_L001_R2_001.fastp.fastq.gz,363148400_R1,Fluorescent Quantification,4588,0.100062899
0363148401_S279_L001_R1_001.fastp.fastq.gz,363148401_R1,Fluorescent Quantification,3003,0.065494526
0363148401_S279_L001_R2_001.fastp.fastq.gz,363148401_R1,Fluorescent Quantification,3003,0.065494526
0363148402_S236_L001_R1_001.fastp.fastq.gz,363148402_R1,Fluorescent Quantification,4836,0.105471705
0363148402_S236_L001_R2_001.fastp.fastq.gz,363148402_R1,Fluorescent Quantification,4836,0.105471705
0363148403_S264_L001_R1_001.fastp.fastq.gz,363148403_R1,Fluorescent Quantification,2417,0.052714043
0363148403_S264_L001_R2_001.fastp.fastq.gz,363148403_R1,Fluorescent Quantification,2417,0.052714043
0363148404_S200_L001_R1_001.fastp.fastq.gz,363148404_R1,Fluorescent Quantification,6643,0.144881831
0363148404_S200_L001_R2_001.fastp.fastq.gz,363148404_R1,Fluorescent Quantification,6643,0.144881831
0363148405_S120_L001_R1_001.fastp.fastq.gz,363148405_R1,Fluorescent Quantification,2648,0.057752083
0363148405_S120_L001_R2_001.fastp.fastq.gz,363148405_R1,Fluorescent Quantification,2648,0.057752083
0363148406_S115_L001_R1_001.fastp.fastq.gz,363148406_R1,Fluorescent Quantification,14353,0.31303461
0363148406_S115_L001_R2_001.fastp.fastq.gz,363148406_R1,Fluorescent Quantification,14353,0.31303461
0363148407_S269_L001_R1_001.fastp.fastq.gz,363148407_R1,Fluorescent Quantification,3169,0.069114936
0363148407_S269_L001_R2_001.fastp.fastq.gz,363148407_R1,Fluorescent Quantification,3169,0.069114936
0363148408_S283_L001_R1_001.fastp.fastq.gz,363148408_R1,Fluorescent Quantification,3419,0.074567361
0363148408_S283_L001_R2_001.fastp.fastq.gz,363148408_R1,Fluorescent Quantification,3419,0.074567361
0363148409_S190_L001_R1_001.fastp.fastq.gz,363148409_R1,Fluorescent Quantification,12102,0.263940978
0363148409_S190_L001_R2_001.fastp.fastq.gz,363148409_R1,Fluorescent Quantification,12102,0.263940978
0363148410_S226_L001_R1_001.fastp.fastq.gz,363148410_R1,Fluorescent Quantification,1783,0.038886693
0363148410_S226_L001_R2_001.fastp.fastq.gz,363148410_R1,Fluorescent Quantification,1783,0.038886693
0363148411_S272_L001_R1_001.fastp.fastq.gz,363148411_R1,Fluorescent Quantification,3765,0.082113517
0363148411_S272_L001_R2_001.fastp.fastq.gz,363148411_R1,Fluorescent Quantification,3765,0.082113517
0363148412_S197_L001_R1_001.fastp.fastq.gz,363148412_R1,Fluorescent Quantification,5169,0.112734334
0363148412_S197_L001_R2_001.fastp.fastq.gz,363148412_R1,Fluorescent Quantification,5169,0.112734334
0363148413_S150_L001_R1_001.fastp.fastq.gz,363148413_R1,Fluorescent Quantification,395,0.008614831
0363148413_S150_L001_R2_001.fastp.fastq.gz,363148413_R1,Fluorescent Quantification,395,0.008614831
0363148414_S114_L001_R1_001.fastp.fastq.gz,363148414_R1,Fluorescent Quantification,8661,0.188893803
0363148414_S114_L001_R2_001.fastp.fastq.gz,363148414_R1,Fluorescent Quantification,8661,0.188893803
0363148415_S263_L001_R1_001.fastp.fastq.gz,363148415_R1,Fluorescent Quantification,3937,0.085864785
0363148415_S263_L001_R2_001.fastp.fastq.gz,363148415_R1,Fluorescent Quantification,3937,0.085864785
0363148417_S258_L001_R1_001.fastp.fastq.gz,363148417_R1,Fluorescent Quantification,7402,0.161435392
0363148417_S258_L001_R2_001.fastp.fastq.gz,363148417_R1,Fluorescent Quantification,7402,0.161435392
0363148418_S170_L001_R1_001.fastp.fastq.gz,363148418_R1,Fluorescent Quantification,2856,0.0622885
0363148418_S170_L001_R2_001.fastp.fastq.gz,363148418_R1,Fluorescent Quantification,2856,0.0622885
0363148419_S276_L001_R1_001.fastp.fastq.gz,363148419_R1,Fluorescent Quantification,2599,0.056683408
0363148419_S276_L001_R2_001.fastp.fastq.gz,363148419_R1,Fluorescent Quantification,2599,0.056683408
0363148420_S221_L001_R1_001.fastp.fastq.gz,363148420_R1,Fluorescent Quantification,8689,0.189504475
0363148420_S221_L001_R2_001.fastp.fastq.gz,363148420_R1,Fluorescent Quantification,8689,0.189504475
0363148421_S281_L001_R1_001.fastp.fastq.gz,363148421_R1,Fluorescent Quantification,1517,0.033085313
0363148421_S281_L001_R2_001.fastp.fastq.gz,363148421_R1,Fluorescent Quantification,1517,0.033085313
0363148424_S206_L001_R1_001.fastp.fastq.gz,363148424_R1,Fluorescent Quantification,3859,0.084163629
0363148424_S206_L001_R2_001.fastp.fastq.gz,363148424_R1,Fluorescent Quantification,3859,0.084163629
0363148425_S240_L001_R1_001.fastp.fastq.gz,363148425_R1,Fluorescent Quantification,5907,0.128829892
0363148425_S240_L001_R2_001.fastp.fastq.gz,363148425_R1,Fluorescent Quantification,5907,0.128829892
0363148426_S252_L001_R1_001.fastp.fastq.gz,363148426_R1,Fluorescent Quantification,380,0.008287686
0363148426_S252_L001_R2_001.fastp.fastq.gz,363148426_R1,Fluorescent Quantification,380,0.008287686
0363148427_S254_L001_R1_001.fastp.fastq.gz,363148427_R1,Fluorescent Quantification,5146,0.112232711
0363148427_S254_L001_R2_001.fastp.fastq.gz,363148427_R1,Fluorescent Quantification,5146,0.112232711
0363148428_S201_L001_R1_001.fastp.fastq.gz,363148428_R1,Fluorescent Quantification,5849,0.12756493
0363148428_S201_L001_R2_001.fastp.fastq.gz,363148428_R1,Fluorescent Quantification,5849,0.12756493
0363148429_S209_L001_R1_001.fastp.fastq.gz,363148429_R1,Fluorescent Quantification,132,0.00287888
